465 465
26002 10001 223938
26002 11001 241644
26002 12001 254965
26002 13001 269357
26002 14001 283380
26002 15001 295228
26002 16001 305754
26002 17001 316353
26002 18001 325271
26002 19001 333069
26002 20001 339856
26002 21001 348567
26002 22001 350591
26002 23001 354091
26002 24001 356884
26002 25001 358482
26002 26001 359258
27002 1 51
27002 1001 28320
27002 2001 55564
27002 3001 81615
27002 4001 106480
27002 5001 130397
27002 6001 153185
27002 7001 176063
27002 8001 196203
27002 9001 216063
27002 10001 234582
27002 11001 254349
27002 12001 268781
27002 13001 283717
27002 14001 301898
27002 15001 313131
27002 16001 322968
27002 17001 333899
27002 18001 345080
27002 19001 354032
27002 20001 360906
27002 21001 371259
27002 22001 378435
27002 23001 380504
27002 24001 383937
27002 25001 386741
27002 26001 390592
27002 27001 386852
28002 1 53
28002 1001 29434
28002 2001 58964
28002 3001 84999
28002 4001 110961
28002 5001 136982
28002 6001 161266
28002 7001 182903
28002 8001 203889
28002 9001 224452
28002 10001 244112
28002 11001 262521
28002 12001 279753
28002 13001 296507
28002 14001 312423
28002 15001 325790
28002 16001 339310
28002 17001 352170
28002 18001 364428
28002 19001 376618
28002 20001 385393
28002 21001 393261
28002 22001 400837
28002 23001 414915
28002 24001 415032
28002 25001 415795
28002 26001 422068
28002 27001 425222
28002 28001 424245
29002 1 56
29002 1001 32399
29002 2001 60600
29002 3001 89043
29002 4001 123402
29002 5001 144406
29002 6001 170822
29002 7001 192417
29002 8001 217119
29002 9001 241744
29002 10001 259053
29002 11001 277095
29002 12001 296895
29002 13001 312892
29002 14001 329862
29002 15001 343868
29002 16001 359458
29002 17001 373804
29002 18001 387869
29002 19001 398294
29002 20001 405836
29002 21001 415931
29002 22001 421256
29002 23001 427920
29002 24001 433532
29002 25001 443397
29002 26001 448448
29002 27001 448586
29002 28001 447265
29002 29001 448993
2 1 1
1002 1 0
1002 1001 1
2002 1 0
2002 1001 1
2002 2001 2
3002 1 0
3002 1001 2
3002 2001 3
3002 3001 3
4002 1 0
4002 1001 2
4002 2001 3
4002 3001 5
4002 4001 4
5002 1 0
5002 1001 1
5002 2001 3
5002 3001 5
5002 4001 7
5002 5001 9
6002 1 0
6002 1001 2
6002 2001 3
6002 3001 6
6002 4001 7
6002 5001 9
6002 6001 11
7002 1 0
7002 1001 2
7002 2001 4
7002 3001 6
7002 4001 7
7002 5001 9
7002 6001 7
7002 7001 13
8002 1 0
8002 1001 2
8002 2001 4
8002 3001 6
8002 4001 5
8002 5001 9
8002 6001 11
8002 7001 8
8002 8001 15
9002 1 0
9002 1001 2
9002 2001 4
9002 3001 4
9002 4001 7
9002 5001 6
9002 6001 11
9002 7001 13
9002 8001 15
9002 9001 17
10002 1 0
10002 1001 2
10002 2001 4
10002 3001 6
10002 4001 7
10002 5001 9
10002 6001 11
10002 7001 13
10002 8001 15
10002 9001 17
10002 10001 12
11002 1 0
11002 1001 2
11002 2001 4
11002 3001 5
11002 4001 8
11002 5001 6
11002 6001 11
11002 7001 13
11002 8001 15
11002 9001 11
11002 10001 19
11002 11001 13
12002 1 0
12002 1001 2
12002 2001 4
12002 3001 5
12002 4001 8
12002 5001 9
12002 6001 11
12002 7001 13
12002 8001 15
12002 9001 17
12002 10001 19
12002 11001 21
12002 12001 22
13002 1 0
13002 1001 2
13002 2001 4
13002 3001 5
13002 4001 8
13002 5001 6
13002 6001 12
13002 7001 13
13002 8001 15
13002 9001 11
13002 10001 12
13002 11001 21
13002 12001 23
13002 13001 24
14002 1 0
14002 1001 2
14002 2001 4
14002 3001 5
14002 4001 8
14002 5001 10
14002 6001 12
14002 7001 14
14002 8001 15
14002 9001 17
14002 10001 19
14002 11001 21
14002 12001 14
14002 13001 25
14002 14001 27
15002 1 0
15002 1001 2
15002 2001 3
15002 3001 6
15002 4001 8
15002 5001 10
15002 6001 11
15002 7001 13
15002 8001 15
15002 9001 17
15002 10001 19
15002 11001 21
15002 12001 14
15002 13001 25
15002 14001 27
15002 15001 28
16002 1 0
16002 1001 2
16002 2001 4
16002 3001 6
16002 4001 7
16002 5001 10
16002 6001 11
16002 7001 13
16002 8001 16
16002 9001 11
16002 10001 19
16002 11001 21
16002 12001 23
16002 13001 16
16002 14001 27
16002 15001 18
16002 16001 30
17002 1 0
17002 1001 3
17002 2001 4
17002 3001 6
17002 4001 8
17002 5001 9
17002 6001 11
17002 7001 14
17002 8001 10
17002 9001 11
17002 10001 19
17002 11001 21
17002 12001 23
17002 13001 25
17002 14001 17
17002 15001 29
17002 16001 31
17002 17001 32
18002 1 0
18002 1001 3
18002 2001 3
18002 3001 7
18002 4001 8
18002 5001 10
18002 6001 12
18002 7001 14
18002 8001 15
18002 9001 17
18002 10001 19
18002 11001 21
18002 12001 23
18002 13001 25
18002 14001 27
18002 15001 29
18002 16001 31
18002 17001 20
18002 18001 34
19002 1 0
19002 1001 2
19002 2001 4
19002 3001 7
19002 4001 8
19002 5001 10
19002 6001 12
19002 7001 14
19002 8001 15
19002 9001 18
19002 10001 19
19002 11001 14
19002 12001 23
19002 13001 25
19002 14001 17
19002 15001 28
19002 16001 30
19002 17001 32
19002 18001 34
19002 19001 23
20002 1 0
20002 1001 2
20002 2001 4
20002 3001 6
20002 4001 6
20002 5001 10
20002 6001 8
20002 7001 14
20002 8001 16
20002 9001 18
20002 10001 19
20002 11001 14
20002 12001 23
20002 13001 25
20002 14001 27
20002 15001 29
20002 16001 19
20002 17001 32
20002 18001 34
20002 19001 36
20002 20001 38
21002 1 0
21002 1001 3
21002 2001 4
21002 3001 6
21002 4001 8
21002 5001 9
21002 6001 13
21002 7001 13
21002 8001 15
21002 9001 18
21002 10001 20
21002 11001 14
21002 12001 23
21002 13001 16
21002 14001 27
21002 15001 29
21002 16001 31
21002 17001 32
21002 18001 21
21002 19001 36
21002 20001 37
21002 21001 39
22002 1 0
22002 1001 3
22002 2001 4
22002 3001 6
22002 4001 8
22002 5001 10
22002 6001 12
22002 7001 9
22002 8001 16
22002 9001 18
22002 10001 21
22002 11001 21
22002 12001 24
22002 13001 25
22002 14001 26
22002 15001 29
22002 16001 31
22002 17001 20
22002 18001 22
22002 19001 28
22002 20001 38
22002 21001 40
22002 22001 42
23002 1 0
23002 1001 3
23002 2001 4
23002 3001 6
23002 4001 8
23002 5001 10
23002 6001 12
23002 7001 14
23002 8001 16
23002 9001 12
23002 10001 19
23002 11001 21
23002 12001 23
23002 13001 26
23002 14001 27
23002 15001 29
23002 16001 30
23002 17001 33
23002 18001 35
23002 19001 37
23002 20001 38
23002 21001 40
23002 22001 26
23002 23001 44
24002 1 0
24002 1001 3
24002 2001 4
24002 3001 5
24002 4001 6
24002 5001 11
24002 6001 13
24002 7001 14
24002 8001 16
24002 9001 18
24002 10001 19
24002 11001 21
24002 12001 15
24002 13001 25
24002 14001 27
24002 15001 29
24002 16001 31
24002 17001 32
24002 18001 34
24002 19001 37
24002 20001 24
24002 21001 40
24002 22001 42
24002 23001 44
24002 24001 46
25002 1 0
25002 1001 2
25002 2001 5
25002 3001 7
25002 4001 8
25002 5001 10
25002 6001 9
25002 7001 14
25002 8001 16
25002 9001 12
25002 10001 20
25002 11001 22
25002 12001 15
25002 13001 25
25002 14001 27
25002 15001 19
25002 16001 30
25002 17001 33
25002 18001 35
25002 19001 36
25002 20001 40
25002 21001 26
25002 22001 26
25002 23001 44
25002 24001 45
25002 25001 47
26002 1 0
26002 1001 3
26002 2001 5
26002 3001 6
26002 4001 8
26002 5001 11
26002 6001 11
26002 7001 15
26002 8001 15
26002 9001 17
26002 10001 13
26002 11001 14
26002 12001 15
26002 13001 25
26002 14001 27
26002 15001 29
26002 16001 20
26002 17001 33
26002 18001 34
26002 19001 23
26002 20001 39
26002 21001 40
26002 22001 42
26002 23001 44
26002 24001 29
26002 25001 49
26002 26001 50
27002 1 0
27002 1001 2
27002 2001 6
27002 3001 5
27002 4001 6
27002 5001 10
27002 6001 12
27002 7001 13
27002 8001 16
27002 9001 12
27002 10001 19
27002 11001 22
27002 12001 24
27002 13001 26
27002 14001 27
27002 15001 30
27002 16001 32
27002 17001 32
27002 18001 22
27002 19001 36
27002 20001 24
27002 21001 40
27002 22001 43
27002 23001 47
27002 24001 46
27002 25001 30
27002 26001 51
27002 27001 52
28002 1 0
28002 1001 3
28002 2001 4
28002 3001 7
28002 4001 9
28002 5001 11
28002 6001 13
28002 7001 14
28002 8001 17
28002 9001 19
28002 10001 20
28002 11001 21
28002 12001 15
28002 13001 26
28002 14001 28
28002 15001 19
28002 16001 32
28002 17001 33
28002 18001 36
28002 19001 23
28002 20001 39
28002 21001 29
28002 22001 42
28002 23001 44
28002 24001 46
28002 25001 48
28002 26001 50
28002 27001 50
28002 28001 34
29002 1 0
29002 1001 4
29002 2001 4
29002 3001 6
29002 4001 8
29002 5001 10
29002 6001 13
29002 7001 13
29002 8001 16
29002 9001 19
29002 10001 19
29002 11001 21
29002 12001 24
29002 13001 26
29002 14001 28
29002 15001 29
29002 16001 31
29002 17001 33
29002 18001 23
29002 19001 23
29002 20001 39
29002 21001 26
29002 22001 42
29002 23001 44
29002 24001 46
29002 25001 49
29002 26001 51
29002 27001 52
29002 28001 54
29002 29001 35
